address,true_label,baseline_pred,ontology_exact_pred,ontology_super_pred
0xfe3672eff595cfd36ed05aaf4622d1aec3b5e852,1,0,1,1
0x19a6067538c90973ef5dc31ded5fa567f3d09059,1,0,1,1
0x24ec083b6a022099003e3d035fed48b9a58296e5,1,0,1,1
0x4865e85c72a27ca6c362da75ba6707c07464b953,1,1,0,0
0xf45717552f12ef7cb65e95476f217ea008167ae3,1,0,1,1
0x7d56485e026d5d3881f778e99969d2b1f90c50af,1,0,1,1
0xdcb13fa157eebf22ddc8c9aa1d6e394810de6fa3,1,1,0,0
0x5019066b46ae4b8673085b609be366400f53871b,0,0,0,1
0xbc9ccc8a46d424de38b2e4df5f4a5001321c5d4c,0,0,1,1
0x16ff57d02d9b1442f87c4b69eab5779fc8a71516,0,0,0,1
0x032747313c4e914b5fce356ab8dc4df551972dcd,0,1,0,1
0xc2d4290aa2dee92c6ad85ecd580d1216010e92d0,0,1,0,1
0x163733bcc28dbf26b41a8cfa83e369b5b3af741b,0,0,1,1
0x390365cef67dae207db323496d24f643dd3ae581,0,0,0,1
0xf0cfb6e33af9a0bbf70b37662c0f5b3c7483b16d,0,0,1,1
0x1d979bd0b663040f2fe8a9854a8569919ae153ac,0,0,1,1
0xf93599ba824af259d66742e563cb56310923fadd,0,1,0,1
0x59a048d31d72b98dfb10f91a8905aecda7639f13,0,0,1,1
0xed6e9ede980636c622124e01558b49b23c8f45be,0,0,0,1
0xd2c5c0d51c8d97d0deb0a5efa416de90600db62d,0,1,0,1
0xd70994d7020df8052a1124561ff548f3b88744d8,0,1,0,0
0x92ef4e3ecd5ffd99cf6a310c26d5597df27ca89c,0,0,0,1
0x144bf2bbc61a5ae867d7e1fd603015df7f6d4fb6,0,0,0,1
0x9ffe3a0864cce4995a6b385b99de3644cc8d2483,0,0,1,1
0xb6346b0cf3925b8758b5d98cd19703d2c5239e99,0,1,0,0
0x05240da139d30034eaae15737610bfbe68b97910,0,0,1,1
0x9ed3b1520f60d1075c2b9a65ec8a253f9ceb456f,0,0,0,1
0x78c6b7f1f5259406be3bc73eca1eaa859471b9f3,0,0,1,1
0x0908f1678ea2aa69912ed9b45861e2cfe5c41c35,0,0,0,1
0x3d3ed0a4f0af930955806b34367e7c64a0e1c84a,0,1,0,0
0x33a8ea1c8c6294c9f65f3dad7ca7f037bd09f951,0,1,0,0
0xab407a06a1e77c033e1d5f21a2045789b204fd51,0,0,0,1
0x124446eff5787b036aa062a2ef5321ce607437ba,0,0,0,1
0x8effd494eb698cc399af6231fccd39e08fd20b15,0,0,1,1
0xd87c91884f5796e7b0a7ee8cc5d40ad6c63f289d,0,0,1,1
0xd566fa4a696eac66f749f7fe999d6673fee2026c,0,0,1,1
0x02b97cca6d6a5227e464b2a60ee1a580ea4f7da9,0,1,0,0
0xc47f25a40e12f7f07fabcc996148d1e1326903d2,0,1,0,0
0xaf2b8e6114da000176c506f77b173251c16b511d,0,0,1,1
0x362bb67f7fdbdd0dbba4bce16da6a284cf484ed6,0,0,1,1
0x2ab9f67a27f606272189b307052694d3a2b158ba,0,0,1,1
0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,0,0,1,1
0x91c94bee75786fbbfdcfefba1102b68f48a002f4,0,0,1,1
0xebdf586b5c2283156894e7e4ef8a29ca8b132830,0,0,0,1
0x65391a542942510b10c1689d874b62620de28d3e,0,0,1,1
0xa2d4035389aae620e36bd828144b2015564c2702,0,0,1,1
0xb671c3883307cf05bb3dff77a9754e87b4347195,0,0,1,1
0x4e260e3ca268e40133c84b142de73108a7c1ec99,0,1,0,0
0xb10ba7b334d3bd1b2110ba00bca39696b6df406d,0,1,0,0
0xb57acd47240599d0c68f14892dd05441af67e2d3,0,0,0,1
0xaf7aea249098f2c2f50cc11d4000ccf798194373,0,1,0,0
0x2414bd872e9289c085b83742a611175203d68466,0,0,0,1
0xec94d178d97bac527fdcd4b3d4bf41b57d640c5b,0,0,1,1
0x0afc9430e3c5b0949a58f49bc9d134dee87c74d1,0,0,0,1
0x9fff4bc5166f50eae026e6a57972a149e4fd140f,0,0,0,1
0x299bda4202a1e00cf2971bb863aa11be466a6c4c,0,0,0,1
0x39f11a8a601cc962ac26219596af3750aa4395c2,0,0,0,1
0x7f37472ee88062acc82f14ccfe6e7bf5f469dd05,0,0,1,1
0x00a9f7d093c46d95f0318e4a6ffc6ed68f73044c,0,0,1,1
0xd3fa03c67cfba062325cb6f4f4b5c1e642f1cffe,0,0,1,1
0xcafe1a77e84698c83ca8931f54a755176ef75f2c,0,0,1,1
0xf93843fc86afcaa8479a13ad77fd6e6eec79a903,0,0,1,1
0x40f4991411ac5377675c421e87378e10470134a3,0,1,0,0
0x8aa7fb11ed6893c8fea046a7f847fb834d9a9133,0,0,0,1
0x0f64db5a527850b8fc8025f9c49adb734fdf43ed,0,1,0,1
0xc9c7db3c7a2e3b8aca6e6f78180f7013575392a3,0,0,1,1
0xb95dd00b76c15b11ae82e875e9719029cd4d2110,0,0,1,1
0x6eda6ca69d86d3207e3c26570f001309ec2f64f2,0,0,0,1
0xe34f4bd4b05e0a40295daf48c2562c377338ea05,0,1,0,1
0x7b4700f2a2e0765aab00b082613b417cecd0f9f0,0,1,0,0
0xc1e4888069452687eaf2acc36f58b2a869412030,0,0,1,1
0x5ed5b9a13af4581524ebb7a0701bc4366d002289,0,0,0,1
0xd43cbd8a74535327a8a196ea36cd44fc799ca289,0,0,0,1
0xf2fd0c1eb5a2989e32ce929276463164410796b4,0,0,1,1
0x18d70bd7bdfa7e424271fe25b527ee0250db5c90,0,1,0,1
